date , open, high, low, close, volume, high%, low%, close%
168 2018-03-12 Mon , 10519000.0 , 10879000.0 , 9895000.0 , 10213000.0 , 23224.57971188 , 3.422% , -5.932% , -2.909%
169 2018-03-13 Tue , 10213000.0 , 10355000.0 , 9900000.0 , 10168000.0 , 16134.0145346 , 1.390% , -3.065% , -0.441%
170 2018-03-14 Wed , 10167000.0 , 10265000.0 , 9000000.0 , 9153000.0 , 19491.85046288 , 0.964% , -11.478% , -9.973%
171 2018-03-15 Thu , 9141000.0 , 9300000.0 , 8438000.0 , 9115000.0 , 28078.89544603 , 1.739% , -7.691% , -0.284%
172 2018-03-16 Fri , 9115000.0 , 9310000.0 , 8763000.0 , 9095000.0 , 14610.88215893 , 2.139% , -3.862% , -0.219%
173 2018-03-17 Sat , 9095000.0 , 9150000.0 , 8521000.0 , 8667000.0 , 9640.05582315 , 0.605% , -6.311% , -4.706%
174 2018-03-18 Sun , 8667000.0 , 9080000.0 , 8056000.0 , 9018000.0 , 20951.81009811 , 4.765% , -7.050% , 4.050%
175 2018-03-19 Mon , 9018000.0 , 9755000.0 , 8870000.0 , 9718000.0 , 26470.16482589 , 8.173% , -1.641% , 7.762%
176 2018-03-20 Tue , 9718000.0 , 9996000.0 , 9160000.0 , 9829000.0 , 20520.44702784 , 2.861% , -5.742% , 1.142%
177 2018-03-21 Wed , 9826000.0 , 10165000.0 , 9738000.0 , 9919000.0 , 16611.83303474 , 3.450% , -0.896% , 0.946%
178 2018-03-22 Thu , 9919000.0 , 10050000.0 , 9505000.0 , 9783000.0 , 12988.83698289 , 1.321% , -4.174% , -1.371%
179 2018-03-23 Fri , 9779000.0 , 9850000.0 , 9253000.0 , 9847000.0 , 15006.67818287 , 0.726% , -5.379% , 0.695%
180 2018-03-24 Sat , 9847000.0 , 10000000.0 , 9550000.0 , 9580000.0 , 16804.4057451 , 1.554% , -3.016% , -2.711%
181 2018-03-25 Sun , 9580000.0 , 9649000.0 , 9408000.0 , 9477000.0 , 11031.07579798 , 0.720% , -1.795% , -1.075%
182 2018-03-26 Mon , 9480000.0 , 9570000.0 , 8801000.0 , 9052000.0 , 13942.96366853 , 0.949% , -7.162% , -4.515%
183 2018-03-27 Tue , 9054000.0 , 9141000.0 , 8520000.0 , 8651000.0 , 14209.6371507 , 0.961% , -5.898% , -4.451%
184 2018-03-28 Wed , 8651000.0 , 8886000.0 , 8560000.0 , 8730000.0 , 9953.7299998 , 2.716% , -1.052% , 0.913%
185 2018-03-29 Thu , 8730000.0 , 8766000.0 , 7780000.0 , 7915000.0 , 18276.83128802 , 0.412% , -10.882% , -9.336%
186 2018-03-30 Fri , 7911000.0 , 8090000.0 , 7431000.0 , 7602000.0 , 21297.75214749 , 2.263% , -6.068% , -3.906%
187 2018-03-31 Sat , 7602000.0 , 7934000.0 , 7540000.0 , 7697000.0 , 13024.44541947 , 4.367% , -0.816% , 1.250%
